0,1,53
1,10,60
1,82,1
1,83,10
2,15,18
2,100,74
3,8,10
4,0,100
4,1,10
5,81,0
5,1,92
6,1,34
7,10,1
7,94,69
7,14,0
8,62,56
8,1,21
8,1,88
8,21,0
9,1,10
9,0,52
10,54,6
11,0,1
11,1,33
11,1,16
12,52,12
12,45,99
12,10,23
13,1,20
13,32,47
14,10,82
14,100,94
15,59,5
16,10,100
16,26,0
16,10,71
17,100,31
18,1,44
18,1,10
18,69,1
18,10,1
19,1,35
19,14,100
20,0,6
20,55,69
20,63,1
21,10,100
22,7,30
22,32,98
23,5,100
23,78,0
24,1,34
25,1,3
25,18,1
26,1,96
26,44,48
27,10,38
27,23,0
27,95,47
27,1,57
28,10,3
28,1,10
29,0,1
29,10,46
30,0,10
30,65,2
31,0,29
31,10,1
32,67,81
32,66,10
33,53,44
33,1,49
33,10,1
34,10,13
34,68,0
35,1,31
36,19,1
36,1,13
37,1,10
37,74,80
37,43,27
37,100,93
39,62,0
40,1,0
